QUANTITYORDERED,PRICEEACH,SALES,STATUS,MONTH_ID,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE
42,100,4396.14,Shipped,11,2004,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
41,100,7737.93,Shipped,11,2004,Motorcycles,Salzburg Collectables,Salzburg,Austria,EMEA,Large
20,72.55,1451,Shipped,12,2004,Motorcycles,Souveniers And Things Co.,Chatswood,Australia,APAC,Small
21,34.91,733.11,Shipped,2,2005,Motorcycles,La Rochelle Gifts,Nantes,France,EMEA,Small
42,76.36,3207.12,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,NA,Medium
24,100,2434.56,Shipped,4,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small
66,100,7516.08,Disputed,5,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,EMEA,Large
26,100,5404.62,Shipped,1,2003,Classic Cars,Baane Mini Imports,Stavern,Norway,EMEA,Medium
29,100,7209.11,Shipped,3,2003,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Large
38,100,7329.06,Shipped,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Large
37,100,7374.1,Shipped,7,2003,Classic Cars,Technics Stores Inc.,Burlingame,USA,NA,Large
45,100,10993.5,Shipped,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Large
21,100,4860.24,Shipped,10,2003,Classic Cars,Classic Legends Inc.,NYC,USA,NA,Medium
34,100,8014.82,Shipped,11,2003,Classic Cars,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Large
23,100,5372.57,Shipped,11,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium
42,100,7290.36,Shipped,11,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large
47,100,9064.89,Shipped,12,2003,Classic Cars,Canadian Gift Exchange Network,Vancouver,Canada,NA,Large
35,100,6075.3,Shipped,1,2004,Classic Cars,West Coast Collectables Co.,Burbank,USA,NA,Medium
29,100,6463.23,Shipped,3,2004,Classic Cars,Cambridge Collectables Co.,Cambridge,USA,NA,Medium
34,100,6120.34,Shipped,5,2004,Classic Cars,Super Scale Inc.,New Haven,USA,NA,Medium
32,100,7680.64,Shipped,6,2004,Classic Cars,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Large
21,100,4905.39,Shipped,7,2004,Classic Cars,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium
34,100,8014.82,Shipped,8,2004,Classic Cars,Amica Models & Co.,Torino,Italy,EMEA,Large
37,100,7136.19,Shipped,9,2004,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Large
47,100,10172.7,Shipped,10,2004,Classic Cars,Auto Assoc. & Cie.,Versailles,France,EMEA,Large
48,100,11623.7,Shipped,10,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large
40,100,6000.4,Shipped,11,2004,Classic Cars,Online Diecast Creations Co.,Nashua,USA,NA,Medium
26,100,3003,Shipped,11,2004,Classic Cars,Mini Wheels Co.,San Francisco,USA,NA,Medium
30,100,3944.7,Shipped,11,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium
32,100,5691.84,Shipped,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
41,100,4514.92,Shipped,1,2005,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,NA,Medium
36,100,8254.8,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,NA,Large
24,100,2416.56,Shipped,3,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small
23,100,4140.23,Shipped,5,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,NA,Medium
50,100,12001,In Process,5,2005,Classic Cars,Euro Shopping Channel,Madrid,Spain,EMEA,Large
39,99.91,3896.49,Shipped,2,2003,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
29,96.34,2793.86,Shipped,4,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small
27,100,3307.77,Shipped,7,2003,Motorcycles,Lyon Souveniers,Paris,France,EMEA,Medium
37,100,5192.95,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,NA,Medium
37,100,5016.83,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
27,100,3660.93,Shipped,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,NA,Medium
42,100,4695.6,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,Lille,France,EMEA,Medium
38,96.34,3660.92,Shipped,11,2003,Motorcycles,Herkku Gifts,Bergen,Norway,EMEA,Medium
24,100,3025.92,Shipped,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,NA,Medium
23,100,3009.09,Shipped,1,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Japan,Japan,Medium
47,100,5422.39,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium
22,100,2852.08,Shipped,4,2004,Motorcycles,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Small
44,100,5756.52,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,NA,Medium
40,100,4472,Shipped,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,NA,Medium
22,100,2904.44,Shipped,7,2004,Motorcycles,La Rochelle Gifts,Nantes,France,EMEA,Small
47,100,6484.59,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,NA,Medium
39,96.34,3757.26,Shipped,9,2004,Motorcycles,Atelier graphique,Nantes,France,EMEA,Medium
34,100,4043.96,Shipped,10,2004,Motorcycles,Mini Classics,White Plains,USA,NA,Medium
45,100,5566.5,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,NA,Medium
20,100,3176,Shipped,11,2004,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
40,68.92,2756.8,Shipped,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small
26,51.15,1329.9,Shipped,12,2004,Motorcycles,Souveniers And Things Co.,Chatswood,Australia,APAC,Small
39,100,5288.01,Shipped,2,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium
50,44.51,2225.5,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,NA,Small
45,100,5833.8,Shipped,4,2005,Motorcycles,Auto Canal Petit,Paris,France,EMEA,Medium
45,100,5887.35,Disputed,5,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,EMEA,Medium
27,100,6065.55,Shipped,2,2003,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
46,100,9264.86,Shipped,4,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large
31,100,7023.98,Shipped,7,2003,Motorcycles,Lyon Souveniers,Paris,France,EMEA,Large
33,100,5176.38,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,NA,Medium
22,100,4132.7,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
20,100,4183,Shipped,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,NA,Medium
41,100,8892.9,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,Lille,France,EMEA,Large
45,100,8714.7,Shipped,11,2003,Motorcycles,Herkku Gifts,Bergen,Norway,EMEA,Large
49,100,8065.89,Shipped,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,NA,Large
34,100,6123.4,Shipped,1,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Japan,Japan,Medium
49,100,9774.03,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large
39,100,7023.9,Shipped,4,2004,Motorcycles,Vitachrome Inc.,NYC,USA,NA,Large
43,100,7078.23,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,NA,Large
41,100,8336.94,Shipped,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,NA,Large
36,100,6901.92,Shipped,7,2004,Motorcycles,La Rochelle Gifts,Nantes,France,EMEA,Medium
27,100,5438.07,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,NA,Medium
29,100,6683.34,Shipped,9,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium
20,100,4570.4,Shipped,10,2004,Motorcycles,Mini Classics,White Plains,USA,NA,Medium
37,100,7667.14,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,NA,Large
26,100,5868.2,Shipped,11,2004,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
39,76.67,2990.13,Shipped,11,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Small
22,100,3664.1,Shipped,1,2005,Motorcycles,Technics Stores Inc.,Burlingame,USA,NA,Medium
22,100,3834.38,Shipped,2,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium
21,86.77,1822.17,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,NA,Small
66,100,11886.6,Shipped,4,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Large
56,100,9218.16,Disputed,5,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,EMEA,Large
50,100,7208,Shipped,2,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Large
46,100,5004.8,Shipped,4,2003,Classic Cars,Salzburg Collectables,Salzburg,Austria,EMEA,Medium
33,100,4398.24,Shipped,6,2003,Classic Cars,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium
49,100,5597.76,Shipped,8,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,NA,Medium
32,100,4526.08,Shipped,10,2003,Classic Cars,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium
44,100,5924.16,Cancelled,10,2003,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium
24,100,3492.48,Shipped,11,2003,Classic Cars,Alpha Cognac,Toulouse,France,EMEA,Medium
26,100,3854.24,Shipped,11,2003,Classic Cars,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Medium
45,100,5324.4,Shipped,11,2003,Classic Cars,Enaco Distributors,Barcelona,Spain,EMEA,Medium
39,100,5197.92,Shipped,1,2004,Classic Cars,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Medium
49,100,5997.6,Shipped,2,2004,Classic Cars,Collectable Mini Designs Co.,San Diego,USA,NA,Medium
20,100,2910.4,Cancelled,5,2004,Classic Cars,Land of Toys Inc.,NYC,USA,NA,Small
27,100,3378.24,Shipped,6,2004,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,NA,Medium
30,100,3508.8,Shipped,7,2004,Classic Cars,Petit Auto,Bruxelles,Belgium,EMEA,Medium
25,100,2992,Shipped,8,2004,Classic Cars,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Small
24,100,3427.2,Shipped,9,2004,Classic Cars,Gifts4AllAges.com,Boston,USA,NA,Medium
22,100,2692.8,Shipped,10,2004,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Small
33,100,4128.96,Shipped,11,2004,Classic Cars,giftsbymail.co.uk,Cowes,UK,EMEA,Medium
47,64.93,3051.71,Shipped,11,2004,Classic Cars,Baane Mini Imports,Stavern,Norway,EMEA,Medium
25,48.05,1201.25,Shipped,11,2004,Classic Cars,Classic Legends Inc.,NYC,USA,NA,Small
26,75.47,1962.22,Shipped,12,2004,Classic Cars,Euro Shopping Channel,Madrid,Spain,EMEA,Small
48,54.68,2624.64,Shipped,12,2004,Classic Cars,Reims Collectables,Reims,France,EMEA,Small
39,100,4046.25,Shipped,1,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium
34,100,4846.7,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
32,100,3370.56,Shipped,3,2005,Classic Cars,Lyon Souveniers,Paris,France,EMEA,Medium
64,100,9661.44,Shipped,4,2005,Classic Cars,The Sharp Gifts Warehouse,San Jose,USA,NA,Large
19,100,2764.88,On Hold,5,2005,Classic Cars,Gifts4AllAges.com,Boston,USA,NA,Small
42,100,5398.26,Shipped,1,2003,Classic Cars,Baane Mini Imports,Stavern,Norway,EMEA,Medium
31,100,4305.28,Shipped,4,2003,Classic Cars,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium
22,100,3347.74,Shipped,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium
26,100,3188.12,Shipped,7,2003,Classic Cars,Technics Stores Inc.,Burlingame,USA,NA,Medium
20,100,3191.2,Shipped,9,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium
21,100,3536.82,Resolved,10,2003,Classic Cars,Mini Auto Werke,Graz,Austria,EMEA,Medium
33,100,5362.83,Shipped,11,2003,Classic Cars,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium
28,100,3433.36,Shipped,11,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium
26,100,4263.74,Shipped,11,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium
31,100,4076.19,Shipped,12,2003,Classic Cars,Diecast Collectables,Boston,USA,NA,Medium
48,100,7020.48,Shipped,2,2004,Classic Cars,Handji Gifts& Co,Singapore,Singapore,APAC,Large
50,100,6426.5,Shipped,3,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
28,100,4591.72,Shipped,5,2004,Classic Cars,Super Scale Inc.,New Haven,USA,NA,Medium
26,100,4033.38,Shipped,6,2004,Classic Cars,Handji Gifts& Co,Singapore,Singapore,APAC,Medium
32,100,4302.08,Shipped,7,2004,Classic Cars,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium
44,100,7020.64,Shipped,8,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,NA,Large
30,100,3855.9,Shipped,9,2004,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium
38,100,6680.78,Shipped,10,2004,Classic Cars,Marta's Replicas Co.,Cambridge,USA,NA,Medium
40,100,6678,Shipped,10,2004,Classic Cars,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium
46,61.99,2851.54,Shipped,11,2004,Classic Cars,Online Diecast Creations Co.,Nashua,USA,NA,Small
26,100,3188.12,On Hold,11,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium
27,100,4428,Shipped,11,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium
43,100,5780.92,Shipped,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
35,65.63,2297.05,Shipped,1,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small
37,100,6231.54,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
37,46.9,1735.3,Shipped,3,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small
27,100,4427.73,Shipped,5,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,NA,Medium
38,100,5894.94,In Process,5,2005,Classic Cars,La Rochelle Gifts,Nantes,France,EMEA,Medium
33,100,5265.15,Shipped,3,2003,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,Japan,Medium
42,100,7599.9,Shipped,5,2003,Classic Cars,Marseille Mini Autos,Marseille,France,EMEA,Large
42,100,8008.56,Shipped,7,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large
48,100,9245.76,Shipped,9,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,NA,Large
41,100,8296.35,Shipped,10,2003,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,NA,Large
30,100,5019.9,Shipped,11,2003,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium
27,100,5411.07,Shipped,11,2003,Classic Cars,Herkku Gifts,Bergen,Norway,EMEA,Medium
21,100,3840.9,Shipped,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium
20,100,3930.4,Shipped,12,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,EMEA,Medium
41,100,7498.9,Shipped,1,2004,Classic Cars,Auto Canal Petit,Paris,France,EMEA,Large
27,100,4517.91,Shipped,2,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium
28,100,5774.72,Shipped,4,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Medium
24,100,3922.56,Cancelled,6,2004,Classic Cars,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Medium
44,100,9160.36,Shipped,7,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large
50,100,9631,Shipped,8,2004,Classic Cars,Online Mini Collectables,Brickhaven,USA,NA,Large
21,100,3432.24,Shipped,8,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Medium
33,100,5521.89,Shipped,10,2003,Classic Cars,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Medium
33,100,6934.62,Shipped,10,2004,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Medium
31,100,6876.11,Shipped,11,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Medium
41,71.47,2930.27,Shipped,11,2004,Classic Cars,Land of Toys Inc.,NYC,USA,NA,Small
45,79.65,3584.25,Shipped,11,2004,Classic Cars,Salzburg Collectables,Salzburg,Austria,EMEA,Medium
33,85.39,2817.87,Shipped,1,2005,Classic Cars,Suominen Souveniers,Espoo,Finland,EMEA,Small
45,76,3420,Shipped,2,2005,Classic Cars,La Rochelle Gifts,Nantes,France,EMEA,Medium
26,99.04,2575.04,Shipped,3,2005,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Small
12,100,1961.28,Shipped,5,2005,Classic Cars,Salzburg Collectables,Salzburg,Austria,EMEA,Small
41,100,8690.36,Shipped,2,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Large
33,100,6034.38,Shipped,4,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium
46,100,11279.2,Shipped,6,2003,Classic Cars,Muscle Machine Inc,NYC,USA,NA,Large
33,100,8023.29,Shipped,8,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large
20,100,4904,Shipped,9,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,EMEA,Medium
44,100,8594.52,Shipped,10,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Large
33,100,7474.5,Shipped,11,2003,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Large
21,100,3883.74,Shipped,11,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,NA,Medium
47,100,8887.7,Shipped,11,2003,Classic Cars,Super Scale Inc.,New Haven,USA,NA,Large
46,100,8602.92,Shipped,1,2004,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,EMEA,Large
32,100,7181.44,Shipped,2,2004,Classic Cars,"Clover Collections, Co.",Dublin,Ireland,EMEA,Large
42,100,8378.58,Shipped,3,2004,Classic Cars,CAF Imports,Madrid,Spain,EMEA,Large
44,100,10606.2,Shipped,5,2004,Classic Cars,Suominen Souveniers,Espoo,Finland,EMEA,Large
35,100,5818.4,Shipped,7,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,NA,Medium
41,100,7071.27,Shipped,8,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Large
46,100,8411.56,Shipped,9,2004,Classic Cars,Amica Models & Co.,Torino,Italy,EMEA,Large
31,100,6570.76,Shipped,10,2004,Classic Cars,"AV Stores, Co.",Manchester,UK,EMEA,Medium
38,100,7975.44,Shipped,10,2004,Classic Cars,Heintze Collectables,Aaarhus,Denmark,EMEA,Large
42,64,2688,Shipped,11,2004,Classic Cars,Baane Mini Imports,Stavern,Norway,EMEA,Small
33,57.22,1888.26,Shipped,11,2004,Classic Cars,"La Corne D'abondance, Co.",Paris,France,EMEA,Small
48,52.36,2513.28,Shipped,11,2004,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small
42,100,4764.48,Shipped,12,2004,Classic Cars,Reims Collectables,Reims,France,EMEA,Medium
32,100,3560.64,Shipped,1,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
34,100,3823.64,Shipped,2,2005,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
33,69.12,2280.96,Shipped,3,2005,Classic Cars,Lyon Souveniers,Paris,France,EMEA,Small
36,100,8677.8,Shipped,5,2005,Classic Cars,Gift Depot Inc.,Bridgewater,USA,NA,Large
27,100,3394.98,Shipped,1,2003,Trucks and Buses,Baane Mini Imports,Stavern,Norway,EMEA,Medium
21,100,3415.44,Shipped,3,2003,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
21,100,2439.57,Shipped,5,2003,Trucks and Buses,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Small
38,100,4829.8,Shipped,7,2003,Trucks and Buses,Technics Stores Inc.,Burlingame,USA,NA,Medium
30,100,4100.1,Shipped,9,2003,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Medium
49,100,6563.06,Resolved,10,2003,Trucks and Buses,Mini Auto Werke,Graz,Austria,EMEA,Medium
43,100,6817.22,Shipped,11,2003,Trucks and Buses,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium
41,100,6163.94,Shipped,11,2003,Trucks and Buses,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Medium
38,100,4933.92,Shipped,11,2003,Trucks and Buses,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium
28,100,4056.36,Shipped,12,2003,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,Canada,NA,Medium
43,100,5759.42,Shipped,2,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium
25,100,3451,Shipped,3,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
38,100,5920.4,Shipped,5,2004,Trucks and Buses,Super Scale Inc.,New Haven,USA,NA,Medium
41,100,6668.24,Shipped,6,2004,Trucks and Buses,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Medium
28,100,4094.72,Shipped,7,2004,Trucks and Buses,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium
25,100,2938.5,Shipped,8,2004,Trucks and Buses,Diecast Classics Inc.,Allentown,USA,NA,Small
41,100,6387.8,Shipped,9,2004,Trucks and Buses,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium
39,100,6396,Shipped,10,2004,Trucks and Buses,Auto Assoc. & Cie.,Versailles,France,EMEA,Medium
21,100,2669.1,Shipped,10,2004,Trucks and Buses,Canadian Gift Exchange Network,Vancouver,Canada,NA,Small
27,100,4784.13,Shipped,11,2004,Trucks and Buses,Online Diecast Creations Co.,Nashua,USA,NA,Medium
33,99.21,3273.93,Shipped,11,2004,Trucks and Buses,Mini Wheels Co.,San Francisco,USA,NA,Medium
29,100,3586.43,Shipped,11,2004,Trucks and Buses,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium
49,100,5960.36,Shipped,12,2004,Trucks and Buses,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Medium
49,100,8470.14,Shipped,1,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Large
20,100,2952,Shipped,2,2005,Trucks and Buses,Corporate Gift Ideas Co.,San Francisco,USA,NA,Small
39,63.2,2464.8,Shipped,3,2005,Trucks and Buses,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small
40,100,6232,Shipped,5,2005,Trucks and Buses,Quebec Home Shopping Network,Montreal,Canada,NA,Medium
49,100,7969.36,In Process,5,2005,Trucks and Buses,Euro Shopping Channel,Madrid,Spain,EMEA,Large
21,100,3036.6,Shipped,2,2003,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Medium
50,100,8284,Shipped,5,2003,Motorcycles,Reims Collectables,Reims,France,EMEA,Large
20,100,2711.2,Shipped,7,2003,Motorcycles,Lyon Souveniers,Paris,France,EMEA,Small
49,100,8339.8,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,NA,Large
38,100,6238.84,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
35,100,4639.25,Shipped,11,2003,Motorcycles,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Medium
40,100,6747.6,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,Lille,France,EMEA,Medium
28,100,4512.48,Shipped,11,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,NA,Medium
25,100,4029,Shipped,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,NA,Medium
36,100,4771.8,Shipped,1,2004,Motorcycles,Auto Canal Petit,Paris,France,EMEA,Medium
